place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,c3daf54f7d9bc1d5fc7b8e89ddac1878,5,It was a fun and enjoyable new experience.,a month ago,2024-02-28 16:54:45.773199,,,,0,5,1,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,a3362fc499456c6912ce93694cc8a8eb,5,,a month ago,2024-02-28 16:54:45.776536,,,,0,254,1771,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,9ae3ff1642565a50e87f56cc9ba62b60,4,,a month ago,2024-02-28 16:54:45.778725,,,,0,2,3,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,c75fc2f6255c403018d1f5a6c061a347,4,"I love food and of course , me being absolutely in love with oxtail , had to try this oxtail beef patty with Mac & Cheese . From the moment I took my first bite, I knew I was in for a treat ! The oxtail was cooked to perfectly with the meat so tender it practically melted in my mouth. The flavors were rich and savory, with a depth that can only come from slow-cooking but the beef patty is the heart of what holds this beautiful concoction together. The curry goat MORE equally impressive( Called the Drake) The meat was incredibly tender, and the curry sauce had just the right amount of heat and spice was so savory ( best I will get the dish with rice and peas) !!!The flavors were well-balanced, also combined with Max & Cheese and sauce that had a perfect blend of aromatic spices that created a joy for my mouth! I m short I loved both patty sandwiches but the curry goat was my favorite and next time I can do it with just cheese and no Mac and cheese ! I love the touch of the sweet plantain on the top and that the store is full of different/imported chips , snacks and drinks ; making even more unique of a deli !",2 months ago,2024-01-28 16:54:45.781489,,,,2,23,102,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,cd5a12061b0433879b0451b6917906d2,5,,2 months ago,2024-01-28 16:54:45.784167,,,,0,3,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,47918941ddb863e67dbedc2c203fe149,4,,2 months ago,2024-01-28 16:54:45.787263,,,,0,13,6,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,498cf32ed35cf725f6356617560b3764,5,"Listen, I found this place via an influencers post. I watched and read several post the same day then rode 2 plus hours from CT to get that You know why Im here sandwich! Fun fact, most of the crew was in CT at the Mohegan Sun for the Wine and Food festival! Lol. Its was still worth the ride! Delicious!    @datzdeli190",2 months ago,2024-01-28 16:54:45.790121,,,,1,86,8,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,b4c5e8818ad4302cec34fa20005b2a45,4,,2 months ago,2024-01-28 16:54:45.793351,,,,0,29,10,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,bbc7eba233995d1ccef1790de9435ca3,3,Its definitely not worth the price. I will not be coming back.,2 months ago,2024-01-28 16:54:46.470659,,,,1,22,21,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,e2ec3b8a970250aec6a9586954618eab,5,Absolutely amazing! This will be the spot I put all of my friends and coworkers on to !,2 months ago,2024-01-28 16:54:46.474090,,,,0,6,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,c677e4f497f224afadbc0773a6ad017b,5,,2 months ago,2024-01-28 16:54:46.477028,,,,0,72,10,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,0d63d63cb9e3d7f873a8252de5f01597,4,,2 months ago,2024-01-28 16:54:46.480049,,,,0,3,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,786ff091f1f6bb4a3e4189c76027e61a,3,"It wasnt hot at all. Being so busy they rushed out to quickly. Not 100% organized on waiting on line. Very limited to amount that can be purchased. Aside from that and no seating,  it wasnt bad. Not available everywhere. More like ok try it but once or maybe if in the area twice is enough.",2 months ago,2024-01-28 16:54:46.483201,,,,0,15,11,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,dda2a08e6a47ff5b82f782bd08c1c0f3,5,"NYC has another gem of Caribbean cuisine that brings creativity from Guyanese roots. How simple it is to enhance the taste buds from a Jamaican beef patty and cocoa bread with the favorites we love from oxtail, jerk chicken, curry chicken, curry shrimp, etc. Just genius.",2 months ago,2024-01-28 16:54:46.486280,,,,0,115,26,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,b4aefc774f7217a89dce8b6af9e9a32d,3,,2 months ago,2024-01-28 16:54:46.489845,,,,0,7,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,e18dab1056c58bcd3cfc54eb113a01c1,1,Went there 2 weeks ago.. asked for oxtail and rice.. they said oxtail is too expensive so they cannot do that... That was the whole point of me to visit there.. They clearing a million dollars but they cannot provide oxtail with rice.. are you kidding me? A customer is asking for oxtail and rice but they can only put it in beef patties because oxtail is too expensive.. then do not sell it. Simple. Do not go.,2 months ago,2024-01-28 16:54:46.492593,My apologies to you for that .. unfortunately we don t offer oxtails with rice as a platter.  We are the home of the Oxtail Mac and cheese Patty.  All oxtail is deboned for the Pattie s strictly. We offer plate options in other proteins if you would like to try.,a month ago,2024-02-28 16:54:46.492593,2,5,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,fdf936661b745d8be8f09857ef51d324,1,"Charged 15 for the oxtail sandwich with barely any oxtail on it at all, the mash potato was stuck together, not hot tasted mushy!",2 months ago,2024-01-28 16:54:46.495526,,,,2,7,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,7f5e317876ef5989f24aa9dfa9c791d1,5,,2 months ago,2024-01-28 16:54:46.498364,,,,0,29,6,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,bfda31196291618ca599f83b9dd907bd,1,,2 months ago,2024-01-28 16:54:47.162970,,,,0,5,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,c7bc2d34952b3bc35c83727ccd0524b5,4,"Everyone on social media was raving about the Oxtail Datmacpatty, so of course we had to see what the hype was all about. The Oxtail Datmacpatty is a great concept, but needs some work. It was definitely lacking seasoning & sauce. There were several other options on the menu, but we only tried the Datmacpatty & the fish. The fish could ve been better. Definitely needed more seasoning & was probably cooked too long because the inside wasn t fluffy. Very dry in my opinion. However, The owners/staff were friendly. Great experience. Would I recommend? I Definitely would recommend everyone to try it, but it wasn t worth the hype in my opinion. People must like it because they had a long line of customers, but they were able to get customers in and out quickly, which is a plus in my book.",3 months ago,2023-12-28 16:54:47.165935,,,,0,102,268,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,dc1f1ab3ff9793f5eac473c01831ad57,3,"Id give it 7/10. As a Guyanese, I think some can agree we cook with heavy seasoning, salt, pepper, etc. DatzDeli should create a pepper sauce for those who like spicy to have it on the side. That way for others that dont like spicy, they can still be able to eat something. I think now theyre more out there, based on the reviews.. Quality is becoming an issue. These patties were over $30.. I love the story. If you also know some people dont like to get into business with their family. They are beating the odds. Id love to support this business some more. Hopefully, there are some improvements over time.",3 months ago,2023-12-28 16:54:47.169132,Hello thank you for your review we do carry pepper sauce you just have to ask for pepper on your Patty or on the side thank you for feed back . See you again soon .,2 months ago,2024-01-28 16:54:47.169132,0,35,24,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,e6e096c8c64bfdc229f744a8a896f6d6,4,,3 months ago,2023-12-28 16:54:47.172637,,,,0,10,120,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,4e7465a1e1c088af09abf613430232a1,5,The food was very good.  The customer service was great,3 months ago,2023-12-28 16:54:47.175525,,,,0,70,,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,77436225e50bdb0911bd342d59157be8,4,,3 months ago,2023-12-28 16:54:47.178879,,,,0,51,3,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,3a19450793aa3b99f5cd7ba4007dcad6,5,Food was good just wish there was little for oxtail in the patty.,3 months ago,2023-12-28 16:54:47.181686,,,,0,22,11,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,1b3afe8a66dc79da0005ce0bca2ab492,2,"Definitely not worth the hype. I got the famous sandwich. Unfortunately, I was only able to take about two bites because then I found hair, disgusting   . All you taste is the Mac and cheese. The staff was super friendly and nice I just wish that the gentleman making the sandwiches paid more attention to making the sandwiches and not watching the game.",3 months ago,2023-12-28 16:54:47.185317,,,,1,22,12,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,60e044c6eb38e672d75d7731335eefcb,5,"Friendly staff, good atmosphere.",3 months ago,2023-12-28 16:54:47.187943,,,,0,63,139,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,e57fef0b7374992c55300e7489b14cfb,5,,3 months ago,2023-12-28 16:54:47.191515,,,,0,5,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,2af404fc62134e9d9092128d5cbd96be,1,Ok so it was my first time here I ve been dying to try it out. Everyone who works there is nice and helpful. I order the Jerk MacPatty and tbh was highly disappointed it was kinda dry. I thought the Jerk Chicken would be shredded not a thin piece of cutlet but that was whatever my main problem was that I found about three hairs in the food. It threw me off completely. I genuinely wanted to like this place because I ve heard so much about it but after finding the hair in my food and the Jerk chicken being very underwhelming I wouldn t recommend it. I don t know maybe I ll order again something different but finding the hair in my food makes me not wanna order something by from there ever again.,3 months ago,2023-12-28 16:54:47.900979,,,,3,3,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,92fb15a1f7f5d286e59fa4cedea268be,3,It was ok. The food did not live up to the hype.,3 months ago,2023-12-28 16:54:47.903902,,,,0,112,501,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,e09eeea8530642b3caa2a267d018487f,5,"Datz Deli in Queens, NY, is a culinary gem that beautifully blends Caribbean influences into their dishes. We recently tried the DatMacPatty, a veggie patty bursting with the delightful combination of warm mac and cheese, spinach, and cheese, all enveloped in a soft coco bread   a true flavor explosion that exceeded our expectations! Additionally, the Drake DatMacPatty, featuring goat curry and baked mac and cheese encased in a Caribbean-styled beef patty, was a taste sensation like no other. The choice of warm cocoa bread elevated the experience, making it a must-try for anyone seeking a unique and delicious dining adventure. The ambiance was welcoming, and the staff provided excellent service. Datz Deli has certainly carved its niche in bringing innovative and mouthwatering Caribbean-inspired dishes to Queens. We cant wait to return for more culinary adventures at this fantastic location!",3 months ago,2023-12-28 16:54:47.906703,,,,1,258,1025,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,f1f689cdf1dd7c3bfeda54a67ef9fa4a,5,,3 months ago,2023-12-28 16:54:47.909826,,,,0,39,20,True,,
